CRP;{CRP_dummy};{CRP_dummy};{CRP_dummy};{Return ER, CRP, ER Sepsis Triage, ER Registration, ER Triage};{Return ER, Admission NC, CRP, ER Sepsis Triage, ER Registration, ER Triage};{Return ER, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, Release A, ER Triage, ER Sepsis Triage};*
Leucocytes;{Leucocytes_dummy};{Leucocytes_dummy};{Leucocytes_dummy};{Leucocytes_dummy};{Leucocytes_dummy};{LacticAcid, Leucocytes};*
ER Registration;{ER Registration_dummy};{ER Registration_dummy};{ER Sepsis Triage, ER Registration, ER Triage, Return ER};{Return ER, CRP, ER Sepsis Triage, ER Registration, ER Triage};{Return ER, Admission NC, CRP, ER Sepsis Triage, ER Registration, ER Triage};{Return ER, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, Release A, ER Triage, ER Sepsis Triage};*
ER Triage;{ER Sepsis Triage, ER Triage};{ER Sepsis Triage, Return ER, ER Triage};{ER Sepsis Triage, ER Registration, ER Triage, Return ER};{Return ER, CRP, ER Sepsis Triage, ER Registration, ER Triage};{Return ER, Admission NC, CRP, ER Sepsis Triage, ER Registration, ER Triage};{Return ER, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, Release A, ER Triage, ER Sepsis Triage};*
ER Sepsis Triage;{ER Sepsis Triage, ER Triage};{ER Sepsis Triage, Return ER, ER Triage};{ER Sepsis Triage, ER Registration, ER Triage, Return ER};{Return ER, CRP, ER Sepsis Triage, ER Registration, ER Triage};{Return ER, Admission NC, CRP, ER Sepsis Triage, ER Registration, ER Triage};{Return ER, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, Release A, ER Triage, ER Sepsis Triage};*
LacticAcid;{LacticAcid_dummy};{LacticAcid_dummy};{LacticAcid_dummy};{LacticAcid_dummy};{LacticAcid_dummy};{LacticAcid, Leucocytes};*
IV Antibiotics;{IV Antibiotics_dummy};{IV Antibiotics_dummy};{IV Antibiotics_dummy};{IV Antibiotics, IV Liquid};{IV Antibiotics, IV Liquid, Release B, Release A};{Return ER, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, Release A, ER Triage, ER Sepsis Triage};*
IV Liquid;{IV Liquid_dummy};{IV Liquid_dummy};{IV Liquid_dummy};{IV Antibiotics, IV Liquid};{IV Antibiotics, IV Liquid, Release B, Release A};{Return ER, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, Release A, ER Triage, ER Sepsis Triage};*
Admission NC;{Admission NC_dummy};{Admission NC_dummy};{Admission NC_dummy};{Admission NC_dummy};{Return ER, Admission NC, CRP, ER Sepsis Triage, ER Registration, ER Triage};{Return ER, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, Release A, ER Triage, ER Sepsis Triage};*
Release A;{Release A_dummy};{Release A_dummy};{Release A_dummy};{Release B, Release A};{IV Antibiotics, IV Liquid, Release B, Release A};{Return ER, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, Release A, ER Triage, ER Sepsis Triage};*
Return ER;{Return ER_dummy};{ER Sepsis Triage, Return ER, ER Triage};{ER Sepsis Triage, ER Registration, ER Triage, Return ER};{Return ER, CRP, ER Sepsis Triage, ER Registration, ER Triage};{Return ER, Admission NC, CRP, ER Sepsis Triage, ER Registration, ER Triage};{Return ER, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, Release A, ER Triage, ER Sepsis Triage};*
Release B;{Release B_dummy};{Release B_dummy};{Release B_dummy};{Release B, Release A};{IV Antibiotics, IV Liquid, Release B, Release A};{Return ER, Admission NC, IV Antibiotics, CRP, IV Liquid, ER Registration, Release B, Release A, ER Triage, ER Sepsis Triage};*
-;-;-;-;-;-;-;-