?;{?_dummy};{?_dummy};{?_dummy};{?_dummy};{?_dummy};{?_dummy};{?_dummy};{?_dummy};{?_dummy};{?, E};*
A;{A_dummy};{A_dummy};{A_dummy};{A_dummy};{A_dummy};{A_dummy};{A, L};{K, I, Q, L, N, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, C, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};*
B;{B_dummy};{B_dummy};{B_dummy};{B_dummy};{B_dummy};{K, I, Q, F, B, O, S, H, T, D};{K, I, U, Q, F, B, J, R, N, O, S, G, H, M, T, D};{K, I, Q, L, N, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, C, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};*
C;{C_dummy};{C_dummy};{C_dummy};{C_dummy};{C_dummy};{C_dummy};{C_dummy};{C_dummy};{C_dummy};{K, I, C, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};*
D;{K, D};{S, D, K};{S, T, D, K};{O, S, K, T, D};{K, I, Q, F, O, S, H, T, D};{K, I, Q, F, B, O, S, H, T, D};{K, I, U, Q, F, B, J, R, N, O, S, G, H, M, T, D};{K, I, Q, L, N, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, C, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};*
E;{E_dummy};{E_dummy};{E_dummy};{E_dummy};{E_dummy};{E_dummy};{E_dummy};{E_dummy};{E_dummy};{?, E};*
F;{F_dummy};{F_dummy};{F, I};{F, I, H, Q};{K, I, Q, F, O, S, H, T, D};{K, I, Q, F, B, O, S, H, T, D};{K, I, U, Q, F, B, J, R, N, O, S, G, H, M, T, D};{K, I, Q, L, N, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, C, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};*
G;{G_dummy};{G_dummy};{G_dummy};{G_dummy};{G_dummy};{G, U, M, J, R, N};{K, I, U, Q, F, B, J, R, N, O, S, G, H, M, T, D};{K, I, Q, L, N, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, C, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};*
H;{H_dummy};{H_dummy};{H, Q};{F, I, H, Q};{K, I, Q, F, O, S, H, T, D};{K, I, Q, F, B, O, S, H, T, D};{K, I, U, Q, F, B, J, R, N, O, S, G, H, M, T, D};{K, I, Q, L, N, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, C, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};*
I;{I_dummy};{I_dummy};{F, I};{F, I, H, Q};{K, I, Q, F, O, S, H, T, D};{K, I, Q, F, B, O, S, H, T, D};{K, I, U, Q, F, B, J, R, N, O, S, G, H, M, T, D};{K, I, Q, L, N, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, C, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};*
J;{J_dummy};{J, N};{J, N, M};{J, R, N, M};{U, M, J, R, N};{G, U, M, J, R, N};{K, I, U, Q, F, B, J, R, N, O, S, G, H, M, T, D};{K, I, Q, L, N, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, C, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};*
K;{K, D};{S, D, K};{S, T, D, K};{O, S, K, T, D};{K, I, Q, F, O, S, H, T, D};{K, I, Q, F, B, O, S, H, T, D};{K, I, U, Q, F, B, J, R, N, O, S, G, H, M, T, D};{K, I, Q, L, N, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, C, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};*
L;{L_dummy};{L_dummy};{L_dummy};{L_dummy};{L_dummy};{L_dummy};{A, L};{K, I, Q, L, N, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, C, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};*
M;{M_dummy};{M_dummy};{J, N, M};{J, R, N, M};{U, M, J, R, N};{G, U, M, J, R, N};{K, I, U, Q, F, B, J, R, N, O, S, G, H, M, T, D};{K, I, Q, L, N, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, C, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};*
N;{N_dummy};{J, N};{J, N, M};{J, R, N, M};{U, M, J, R, N};{G, U, M, J, R, N};{K, I, U, Q, F, B, J, R, N, O, S, G, H, M, T, D};{K, I, Q, L, N, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, C, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};*
O;{O_dummy};{O_dummy};{O_dummy};{O, S, K, T, D};{K, I, Q, F, O, S, H, T, D};{K, I, Q, F, B, O, S, H, T, D};{K, I, U, Q, F, B, J, R, N, O, S, G, H, M, T, D};{K, I, Q, L, N, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, C, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};*
Q;{Q_dummy};{Q_dummy};{H, Q};{F, I, H, Q};{K, I, Q, F, O, S, H, T, D};{K, I, Q, F, B, O, S, H, T, D};{K, I, U, Q, F, B, J, R, N, O, S, G, H, M, T, D};{K, I, Q, L, N, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, C, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};*
R;{R_dummy};{R_dummy};{R_dummy};{J, R, N, M};{U, M, J, R, N};{G, U, M, J, R, N};{K, I, U, Q, F, B, J, R, N, O, S, G, H, M, T, D};{K, I, Q, L, N, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, C, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};*
S;{S_dummy};{S, D, K};{S, T, D, K};{O, S, K, T, D};{K, I, Q, F, O, S, H, T, D};{K, I, Q, F, B, O, S, H, T, D};{K, I, U, Q, F, B, J, R, N, O, S, G, H, M, T, D};{K, I, Q, L, N, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, C, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};*
T;{T_dummy};{T_dummy};{S, T, D, K};{O, S, K, T, D};{K, I, Q, F, O, S, H, T, D};{K, I, Q, F, B, O, S, H, T, D};{K, I, U, Q, F, B, J, R, N, O, S, G, H, M, T, D};{K, I, Q, L, N, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, C, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};*
U;{U_dummy};{U_dummy};{U_dummy};{U_dummy};{U, M, J, R, N};{G, U, M, J, R, N};{K, I, U, Q, F, B, J, R, N, O, S, G, H, M, T, D};{K, I, Q, L, N, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, C, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};*
V;{V_dummy};{V_dummy};{V_dummy};{V_dummy};{V_dummy};{V_dummy};{V_dummy};{V_dummy};{K, I, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};{K, I, C, Q, L, N, V, O, S, H, M, T, A, U, F, B, J, R, G, D};*
-;-;-;-;-;-;-;-;-;-;-;-